stop_id,stop_name,parent_station,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding,platform_code
de:12073:900340107::2,"Angermünde, Chausseehaus",,Bushalt B 158 in Richtung Westen,52.9986,14.010631,,,
de:12073:900340108::1,"Angermünde, Ehm-Welk-Str.",,Bushalt Puschkinallee vor Am Plattenwerk,53.011215,13.9941,,,
de:12073:900340108::2,"Angermünde, Ehm-Welk-Str.",,Bushalt Puschkinallee vor Ehm-Welk-Straße,53.011616,13.994766,,,
de:12073:900340109::1,"Angermünde, Eigenheimsiedlung",,Bushalt Sternfelder Straße vor Birkenallee,53.003593,13.981014,,,
de:12073:900340109::2,"Angermünde, Eigenheimsiedlung",,Bushalt Sternfelder Straße hinter Kastanienallee,53.00357,13.980877,,,
de:12073:900340110::1,"Angermünde, Einkaufscenter",,Bushalt Prenzlauer Straße vor Am Krötenberg,53.02234,13.999873,,,
de:12073:900340110::2,"Angermünde, Einkaufscenter",,Bushalt Prenzlauer Straße hinter Alte Templiner Straße,53.022015,13.999902,,,
de:12073:900340111::1,"Angermünde, Schwedter Str.",,Bushalt Schwedter Straße vor Zur Hamey,53.016518,14.014626,,,
de:12073:900340111::2,"Angermünde, Schwedter Str.",,Bushalt Schwedter Straße hinter An der Umgehungsstraße,53.016445,14.013368,,,
de:12073:900340112::1,"Angermünde, Fischerstr.",,Bushalt Fischerstraße vor Schloßwall,53.020103,14.003233,,,
de:12073:900340114::1,"Angermünde, G.-Wolff-Str.",,Bushalt Pestalozzistraße in Richtung Süden,53.0176,13.98103,,,
de:12073:900340114::2,"Angermünde, G.-Wolff-Str.",,Bushalt Pestalozzistraße vor Georg-Wolff-Straße,53.017693,13.981119,,,
de:12073:900340119::1,"Angermünde, Kaisergarten",,Bushalt Klosterstraße vor Ring,53.016487,14.008111,,,
de:12073:900340120::1,"Angermünde, Kalksandsteinwerk",,Bushalt Berliner Tor in Richtung Süden,52.99172,13.981486,,,
de:12073:900340120::2,"Angermünde, Kalksandsteinwerk",,Bushalt Berliner Tor in Richtung Norden,52.991764,13.98177,,,
de:12073:900340121::1,"Angermünde, Kloster",,Bushalt Klosterstraße vor Lösenergasse,53.016045,14.003689,,,
de:12073:900340121::2,"Angermünde, Kloster",,Bushalt Klosterstraße hinter Zur Stadtmauer,53.016037,14.004266,,,
de:12073:900340122::1,"Angermünde, Krankenhaus",,Bushalt Rudolf-Breitscheid-Straße hinter Bergstraße,53.01335,13.987551,,,
de:12073:900340122::2,"Angermünde, Krankenhaus",,Bushalt Rudolf-Breitscheid-Straße vor Triftstraße,53.013275,13.987631,,,
de:12073:900340123::1,"Angermünde, Leistenhof",,Bushalt Berliner Tor in Richtung Süden,52.999367,13.986952,,,
